MetadataComponentId;MetadataComponentName;MetadataComponentType;MetadataComponentNamespace;RefMetadataComponentId ;RefMetadataComponentName;RefMetadataComponentNamespace;RefMetadataComponentType
01p1I000009RyKBQA0;pkb_mobile_proxy;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKSQA0;pkb_SettingsController;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKWQA0;pkb_mobile_Test;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKXQA0;pkb_mobile_controller;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKjQAK;pkb_Controller;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyhrQAC;pkb_Test;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
0661I000002qnRZQAY;pkb_Settings;null;ApexPage;01I1I000001G9PBUA0;PKB;null;CustomObject
